0	1052564	116	3	1
3	2161659	547	14464	2
0	982224	55	0	1
1	210437	46	110	2
-1	3625964	1065	27	1
-66	3475	5	17	0
-85	367966	133	113	0
10	1490785	625	1281	1
8	564345	52	41322	2
20	449267	125	2771	2
0	2333	13	0	1
0	4162983	341	48623	1
0	1005153	484	7041	1
10	314169	92	16	1
48	2162026	155	52	2
3	1769786	88	35568	1
-3	0	0		0
-20	1673360	684	9	0
17	216626	93	578	2
-1	1935329	672	27	1
399	2763520	261	1047	2
-1	5753025	2049	0	1
-2	72400	87	1193	1
12	2228296	139	7	1
1	2875991	975	3992	1
11	583819	8	142189	1
0	5079127	1664	0	1
19	0	0		1
-5	989762	109	4023	0
1	125436	4	61790	1
1	543117	486	7125	1
86	526883	135	98	2
65	2324854	300	1	2
19	892991	69	77530	2
8	1245358	179	1	2
24	1670678	417	120	2
0	637774	285	491	1
5	4418916	146	1174	2
0	1625855	285	1406	2
8	4721021	670	518	1
0	401799	337	994	2
0	1577398	156	5	1
-1601	2362244	486	116	0
214	73113	90	310	2
-7	1179367	161	67608	1
-10	329612	117	5526	2
8	3150063	256	172760	1
0	2701442	348	6	1
325	37614	32	1537	2
5	302333	193	0	1
46	1845371	235	327	2
6	525919	38	11664	2
0	412013	47	0	2
10	2764160	22	100	0
0	123380	124	138	1
0	1514186	401	20198	1
0	283673	73	79	2
15	171679	37	268	2
0	1455944	102	188	1
26	3081059	346	1007	2
99	1944	3	17	2
0	2316807	166	1	1
6	733405	127	37	2
2	0	0		2
5	969580	342	325	1
0	2264500	264	3180	1
1	3587331	322	11	2
10	197173	134	252	1
-1	3753954	203	89	0
18	2657694	699	28	1
0	2119732	325	4	1
0	165688	36	16	1
28	394652	267	945	1
63	263288	17	11576	2
3	1259240	4	1250477	1
0	1198917	292	0	1
0	1399518	58	737	1
0	2623827	230	16	1
-8	4543384	327	419	2
0	982987	243	196	1
67	413217	277	9	2
0	2530383	621	264	1
66	255567	170	2695	2
3	2753085	202	34	1
0	3844737	465	0	1
0	207500	74	1	1
0	2741797	108	16	1
17	1870374	87	491	2
55	853777	133	10217	2
0	5523947	2015	0	1
0	2751822	192	1645	1
-1	505109	90	4	1
20	13722	36	23	2
1	0	0		1
7	3892108	1162	0	0
6	95	1	95	1
-156	2563456	499	191225	0
1	3458690	402	1	1
0	1636177	611	28	1
35	278223	65	98	2
95	3613792	1018	1	2
3	1646009	920	375	2
317	102457	60	8796	2
28	5079134	1673	0	2
-4	2062993	108	8660	0
33	3587315	320	7	1
-1	3901011	502	15	1
-5	1620647	547	0	0
2	3084804	478	1	1
7	0	0		2
1	1387546	326	0	1
0	1026640	21	11	1
-83	832371	61	18	0
0	4502793	252	0	1
0	3939516	1118	538	1
0	268047	35	7	1
359	104478	88	1889	2
0	31823	121	1	1
0	106443	25	381	1
-1	4158600	171	3016	1
2	242902	165	28	1
0	4191479	319	1534	1
